Date,Open,High,Low,Close,Adj Close,Volume
2021-02-23,81200.0,82900.0,81100.0,82000.0,78140.859375,20587314
2021-02-24,81800.0,83600.0,81300.0,82000.0,78140.859375,26807651
2021-02-25,84000.0,85400.0,83000.0,85300.0,81285.5703125,34155986
2021-02-26,82800.0,83400.0,82000.0,82500.0,78617.3359375,38520800
2021-03-02,85100.0,85300.0,83000.0,83600.0,79665.5703125,33498180
2021-03-03,83500.0,84000.0,82800.0,84000.0,80046.734375,19882132
2021-03-04,82600.0,83200.0,82200.0,82400.0,78522.0390625,24348331
2021-03-05,81100.0,82600.0,81100.0,82100.0,78236.1640625,20508971
2021-03-08,82900.0,83000.0,81600.0,82000.0,78140.859375,17641256
2021-03-09,81400.0,81900.0,80600.0,81400.0,77569.109375,25420764
2021-03-10,82400.0,82500.0,80700.0,80900.0,77092.640625,20038422
2021-03-11,81000.0,82500.0,81000.0,82000.0,78140.859375,23818297
2021-03-12,83100.0,83500.0,82400.0,82800.0,78903.2265625,13530573
2021-03-15,82800.0,82900.0,81800.0,81800.0,77950.2890625,13735798
2021-03-16,82200.0,83000.0,82100.0,82800.0,78903.2265625,12293537
2021-03-17,82800.0,82900.0,82000.0,82300.0,78426.7421875,11625146
2021-03-18,82800.0,83800.0,82600.0,82900.0,78998.515625,18585244
2021-03-19,82100.0,82500.0,81800.0,81900.0,78045.5625,15869700
2021-03-22,82000.0,82300.0,81700.0,82000.0,78140.859375,12670506
2021-03-23,82600.0,82900.0,81800.0,81800.0,77950.2890625,13299907
2021-03-24,81000.0,81600.0,80700.0,81000.0,77187.9453125,17926638
2021-03-25,81000.0,82100.0,80800.0,81200.0,77378.5234375,14758826
2021-03-26,81400.0,81600.0,81000.0,81500.0,77664.40625,12845778
2021-03-29,81700.0,81700.0,81000.0,81600.0,77759.6953125,14952134
2021-03-30,81600.0,82300.0,81300.0,82200.0,78679.5390625,13121698
2021-03-31,82400.0,82700.0,81400.0,81400.0,77913.8046875,17240518
2021-04-01,82500.0,83000.0,82000.0,82900.0,79349.5546875,18676461
2021-04-02,84000.0,85200.0,83900.0,84800.0,81168.1875,22997538
2021-04-05,85800.0,86000.0,84800.0,85400.0,81742.484375,16255990
2021-04-06,86200.0,86200.0,85100.0,86000.0,82316.7890625,19042023
2021-04-07,86100.0,86200.0,85400.0,85600.0,81933.9296875,17885538
2021-04-08,85700.0,85700.0,84100.0,84700.0,81072.46875,19244259
2021-04-09,84700.0,84900.0,83400.0,83600.0,80019.578125,18193707
2021-04-12,84100.0,84100.0,83100.0,83200.0,79636.6953125,12915282
2021-04-13,83000.0,84500.0,82800.0,84000.0,80402.4453125,15238206
2021-04-14,84000.0,84300.0,83400.0,84000.0,80402.4453125,13794652
2021-04-15,83700.0,84500.0,83400.0,84100.0,80498.171875,16377412
2021-04-16,84700.0,84700.0,83600.0,83900.0,80306.7265625,15429522
2021-04-19,83800.0,84000.0,83300.0,83300.0,79732.421875,15287311
2021-04-20,83300.0,84000.0,83100.0,83900.0,80306.7265625,15521965
2021-04-21,83300.0,83500.0,82500.0,82600.0,79062.3984375,21636079
2021-04-22,82900.0,83000.0,82400.0,82400.0,78870.9765625,13934746
2021-04-23,81900.0,82900.0,81600.0,82800.0,79253.84375,17805080
2021-04-26,82900.0,83500.0,82600.0,83500.0,79923.859375,15489938
2021-04-27,83200.0,83300.0,82500.0,82900.0,79349.5546875,12941533
2021-04-28,83200.0,83200.0,82100.0,82100.0,78583.8203125,15596759
2021-04-29,82400.0,82500.0,81500.0,81700.0,78200.9609375,20000973
2021-04-30,81900.0,82100.0,81500.0,81500.0,78009.515625,18673197
2021-05-03,81000.0,82400.0,81000.0,81700.0,78200.9609375,15710336
2021-05-04,81900.0,82600.0,81800.0,82600.0,79062.3984375,12532550
2021-05-06,81700.0,82300.0,81700.0,82300.0,78775.2421875,17047511
2021-05-07,81800.0,82100.0,81500.0,81900.0,78392.375,14154882
2021-05-10,82300.0,83500.0,81800.0,83200.0,79636.6953125,19385027
2021-05-11,82500.0,82600.0,81100.0,81200.0,77722.3671875,28996680
2021-05-12,80800.0,81200.0,79800.0,80000.0,76573.7578125,35812268
2021-05-13,78900.0,79600.0,78400.0,78500.0,75137.9921875,31490096
2021-05-14,79000.0,80300.0,78900.0,80100.0,76669.4765625,16450920
2021-05-17,80800.0,80900.0,79200.0,79600.0,76190.890625,17740855
2021-05-18,79600.0,80000.0,79100.0,79600.0,76190.890625,17494407
2021-05-20,79400.0,79700.0,79100.0,79500.0,76095.171875,16541828
2021-05-21,80100.0,81500.0,79800.0,80100.0,76669.4765625,20961714
2021-05-24,80100.0,80400.0,79500.0,79700.0,76286.6171875,13398666
2021-05-25,80000.0,80400.0,79800.0,79900.0,76478.03125,13628942
2021-05-26,80400.0,80500.0,79700.0,79800.0,76382.328125,11984359
2021-05-27,80000.0,80000.0,79100.0,79600.0,76190.890625,23198510
2021-05-28,79800.0,80400.0,79400.0,80100.0,76669.4765625,12360199
2021-05-31,80300.0,80600.0,79600.0,80500.0,77052.34375,13321324
